"083293ea0dc2ebc77f282c2803720a2bb5f21a80"
"2c07985924e33593781e711243393d9805090b41"
"756025b1bcf6382870d6cf15e03feaca40d1f6e7"
"cedc8dc14665eaec78ec994c7fb06398600e15ad"
"e8047ce3a9fd3476f1ada0b3bdd78b4016d622c7"
"fae4cb1dbf012a71504a4f03ec566ac278b66906"
"7d8309ef05c15ebbe98cc484606979001f8c46f3","EXTRACT","{Function pf_query_nat(family, proto, src_ip, src_port, dst_ip, dst_port) at sshuttle/methods/pf.py:117}","{Function _add_natlook_ports(self, pnl, src_port, dst_port) at sshuttle/methods/pf.py:92}","26","3"
"7d8309ef05c15ebbe98cc484606979001f8c46f3","EXTRACT","{Function pf_query_nat(family, proto, src_ip, src_port, dst_ip, dst_port) at sshuttle/methods/pf.py:117}","{Function _get_natlook_port(self, xport) at sshuttle/methods/pf.py:242}","26","2"
"7d8309ef05c15ebbe98cc484606979001f8c46f3","EXTRACT","{Function restore_firewall(self, port, family, udp) at sshuttle/methods/pf.py:257}","{Function disable(self) at sshuttle/methods/pf.py:62}","14","3"
"7d8309ef05c15ebbe98cc484606979001f8c46f3","RENAME","{Function pf_add_anchor_rule(type, name) at sshuttle/methods/pf.py:145}","{Function _add_anchor_rule(self, type, name, pr) at sshuttle/methods/pf.py:106}","24","16"
"7d8309ef05c15ebbe98cc484606979001f8c46f3","RENAME","{Function pf_query_nat(family, proto, src_ip, src_port, dst_ip, dst_port) at sshuttle/methods/pf.py:117}","{Function query_nat(self, family, proto, src_ip, src_port, dst_ip, dst_port) at sshuttle/methods/pf.py:66}","26","25"
"7d8309ef05c15ebbe98cc484606979001f8c46f3","EXTRACT","{Function setup_firewall(self, port, dnsport, nslist, family, subnets, udp) at sshuttle/methods/pf.py:193}","{Function enable(self) at sshuttle/methods/pf.py:57}","63","4"
"7d8309ef05c15ebbe98cc484606979001f8c46f3","EXTRACT","{Function setup_firewall(self, port, dnsport, nslist, family, subnets, udp) at sshuttle/methods/pf.py:193}","{Function add_rules(self, includes, port, dnsport, nslist) at sshuttle/methods/pf.py:171}","63","28"
"7d8309ef05c15ebbe98cc484606979001f8c46f3","EXTRACT","{Function setup_firewall(self, port, dnsport, nslist, family, subnets, udp) at sshuttle/methods/pf.py:193}","{Function add_anchors(self) at sshuttle/methods/pf.py:156}","63","5"
"7d8309ef05c15ebbe98cc484606979001f8c46f3","EXTRACT","{Function pf_query_nat(family, proto, src_ip, src_port, dst_ip, dst_port) at sshuttle/methods/pf.py:117}","{Function _add_natlook_ports(self, pnl, src_port, dst_port) at sshuttle/methods/pf.py:238}","26","3"
"7d8309ef05c15ebbe98cc484606979001f8c46f3","EXTRACT","{Function setup_firewall(self, port, dnsport, nslist, family, subnets, udp) at sshuttle/methods/pf.py:193}","{Function enable(self) at sshuttle/methods/pf.py:229}","63","4"
"7d8309ef05c15ebbe98cc484606979001f8c46f3","EXTRACT","{Function restore_firewall(self, port, family, udp) at sshuttle/methods/pf.py:257}","{Function disable(self) at sshuttle/methods/pf.py:234}","14","3"
