"f10268dc076945ea0bec97555ebf77925c95181f"
"fd24c9d3b8ef84c21c1ab49bc740c220c5d9b731"
"a3852994538d59d0e215cd120f1f2d1000c75d98"
"dbde218e8b02d7f0baefed77a732690c4cc410bc"
"0a4ec40c284062de6d7336f17b288876d909e500"
"c2b0172df126b91a45e9b3c25f434c9bafc884a5"
"20407581a973815f2650e99e2779ca37ccedbb2d"
"dbd2e77d607ff9e44e38cd30aa2011064e589926"
"c118bdcfca8a7364a597832ef0b4181abbf6cd06"
"b23d848523de913b0c523d9610f6f3a17bc3e950","CHANGE_SIGNATURE","{Method extrapolateRate(ReducedState, long, long, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateDoubleGroupingAggregatorFunction.java:680}","{Method extrapolateRate(ReducedState, double, double, boolean, double) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateDoubleGroupingAggregatorFunction.java:692}","-674","-686"
"b23d848523de913b0c523d9610f6f3a17bc3e950","CHANGE_SIGNATURE","{Method new(List, DriverContext, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateIntGroupingAggregatorFunction.java:89}","{Method new(List, DriverContext, boolean, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateIntGroupingAggregatorFunction.java:89}","-83","-83"
"b23d848523de913b0c523d9610f6f3a17bc3e950","CHANGE_SIGNATURE","{Method new(List, DriverContext, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateLongGroupingAggregatorFunction.java:89}","{Method new(List, DriverContext, boolean, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateLongGroupingAggregatorFunction.java:89}","-83","-83"
"b23d848523de913b0c523d9610f6f3a17bc3e950","CHANGE_SIGNATURE","{Method extrapolateRate(ReducedState, long, long, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateLongGroupingAggregatorFunction.java:680}","{Method extrapolateRate(ReducedState, double, double, boolean, double) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateLongGroupingAggregatorFunction.java:692}","-674","-686"
"b23d848523de913b0c523d9610f6f3a17bc3e950","CHANGE_SIGNATURE","{Method new(List, DriverContext, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateDoubleGroupingAggregatorFunction.java:89}","{Method new(List, DriverContext, boolean, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateDoubleGroupingAggregatorFunction.java:89}","-83","-83"
"b23d848523de913b0c523d9610f6f3a17bc3e950","CHANGE_SIGNATURE","{Method extrapolateRate(ReducedState, long, long, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateIntGroupingAggregatorFunction.java:680}","{Method extrapolateRate(ReducedState, double, double, boolean, double) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateIntGroupingAggregatorFunction.java:692}","-674","-686"
"429364ce551069e6a3ed6a585a22f163a33e8410"
"760ffd44b50664221d0618f10d534d1f10a531bc"
"e4ffe27abed688170d3863c9cdb2737d954bea4e"
"05fd5ae71b9f58573aa21bdeed2598b02cb3e77c","CHANGE_SIGNATURE","{Method readMultiLineFormat(XContent, XContentParserConfiguration, BytesReference, CheckedBiConsumer, String[], IndicesOptions, String, String, Boolean, boolean, Optional) at server/src/main/java/org/elasticsearch/action/search/MultiSearchRequest.java:163}","{Method readMultiLineFormat(XContent, XContentParserConfiguration, BytesReference, CheckedBiConsumer, String[], IndicesOptions, String, String, Boolean, boolean, Optional, String) at server/src/main/java/org/elasticsearch/action/search/MultiSearchRequest.java:179}","-157","-173"
"05fd5ae71b9f58573aa21bdeed2598b02cb3e77c","CHANGE_SIGNATURE","{Method parseMultiLineRequest(RestRequest, IndicesOptions, boolean, CheckedBiConsumer, TriFunction, Optional) at server/src/main/java/org/elasticsearch/rest/action/search/RestMultiSearchAction.java:199}","{Method parseMultiLineRequest(RestRequest, IndicesOptions, boolean, CheckedBiConsumer, TriFunction, Optional, String) at server/src/main/java/org/elasticsearch/rest/action/search/RestMultiSearchAction.java:205}","-193","-199"
"05fd5ae71b9f58573aa21bdeed2598b02cb3e77c","CHANGE_SIGNATURE","{Method readMultiLineFormat(XContent, XContentParserConfiguration, BytesReference, CheckedBiConsumer, String[], IndicesOptions, String, String, Boolean, boolean, TriFunction, Optional) at server/src/main/java/org/elasticsearch/action/search/MultiSearchRequest.java:197}","{Method readMultiLineFormat(XContent, XContentParserConfiguration, BytesReference, CheckedBiConsumer, String[], IndicesOptions, String, String, Boolean, boolean, TriFunction, Optional, String) at server/src/main/java/org/elasticsearch/action/search/MultiSearchRequest.java:215}","-191","-209"
"abfb265c2ff3495d7ad73c8cba8927a90572cf51","MOVE","{Method ordToDoc(int) at server/src/main/java/org/elasticsearch/index/codec/vectors/diskbbq/IVFVectorsWriter.java:276}","{Method ordToDoc(int) at server/src/main/java/org/elasticsearch/index/codec/vectors/cluster/KmeansFloatVectorValues.java:145}","-262","-135"
"abfb265c2ff3495d7ad73c8cba8927a90572cf51","MOVE","{Method vectorValue(int) at server/src/main/java/org/elasticsearch/index/codec/vectors/diskbbq/IVFVectorsWriter.java:256}","{Method vectorValue(int) at server/src/main/java/org/elasticsearch/index/codec/vectors/cluster/KmeansFloatVectorValues.java:63}","-242","-57"
"abfb265c2ff3495d7ad73c8cba8927a90572cf51","CHANGE_SIGNATURE","{Method fromArray(float[][]) at server/src/main/java/org/elasticsearch/index/codec/vectors/diskbbq/CentroidSupplier.java:34}","{Method fromArray(float[][], int) at server/src/main/java/org/elasticsearch/index/codec/vectors/diskbbq/CentroidSupplier.java:29}","-28","-23"
"abfb265c2ff3495d7ad73c8cba8927a90572cf51","EXTRACT_MOVE","{Method getFloatVectorValues(FieldInfo, IndexInput, IndexInput, int) at server/src/main/java/org/elasticsearch/index/codec/vectors/diskbbq/IVFVectorsWriter.java:488}","{Method build(IndexInput, IndexInput, int, int) at server/src/main/java/org/elasticsearch/index/codec/vectors/cluster/KmeansFloatVectorValues.java:49}","-482","-43"
"abfb265c2ff3495d7ad73c8cba8927a90572cf51","MOVE_RENAME","{Method vectorValue(int) at server/src/main/java/org/elasticsearch/index/codec/vectors/diskbbq/IVFVectorsWriter.java:497}","{Method vector(int) at server/src/main/java/org/elasticsearch/index/codec/vectors/cluster/KmeansFloatVectorValues.java:120}","-483","-110"
"abfb265c2ff3495d7ad73c8cba8927a90572cf51","INLINE","{Method size() at server/src/main/java/org/elasticsearch/index/codec/vectors/diskbbq/IVFVectorsWriter.java:514}","{Method mergeOneFieldIVF(FieldInfo, MergeState) at server/src/main/java/org/elasticsearch/index/codec/vectors/diskbbq/IVFVectorsWriter.java:304}","-500","-298"
"abfb265c2ff3495d7ad73c8cba8927a90572cf51","MOVE","{Method ordToDoc(int) at server/src/main/java/org/elasticsearch/index/codec/vectors/diskbbq/IVFVectorsWriter.java:519}","{Method ordToDoc(int) at server/src/main/java/org/elasticsearch/index/codec/vectors/cluster/KmeansFloatVectorValues.java:157}","-505","-147"
"733eee4d311676814938f86e5eda665ebf403c0a","PULL_UP","{Method setupAlias(String, String, String) at x-pack/plugin/esql/src/internalClusterTest/java/org/elasticsearch/xpack/esql/action/CrossClusterLookupJoinIT.java:652}","{Method setupAlias(String, String, String) at x-pack/plugin/esql/src/internalClusterTest/java/org/elasticsearch/xpack/esql/action/AbstractCrossClusterTestCase.java:395}","-646","-389"
"733eee4d311676814938f86e5eda665ebf403c0a","PULL_UP","{Method assertCCSExecutionInfoDetails(EsqlExecutionInfo) at x-pack/plugin/esql/src/internalClusterTest/java/org/elasticsearch/xpack/esql/action/CrossClusterLookupJoinIT.java:638}","{Method assertCCSExecutionInfoDetails(EsqlExecutionInfo) at x-pack/plugin/esql/src/internalClusterTest/java/org/elasticsearch/xpack/esql/action/AbstractCrossClusterTestCase.java:381}","-632","-375"
"765b2b9260eba5f86a50c83c37f6af0b3f4d2e89"
"afa1ea95ded25f4cfd405acc666566d59a698fde"
"75459476847bc156c80c7f5ff7d399594c328ff5"
"fe0a16a70fed12fdb428018487152275644f8e39"
"c2e6a672f53a14881bd2e467684b73f37caa7223"
"51bd89e10ee7bedf7b7ba34071e22fafc548122c"
"2b9a0aa4069adeadf16d90bbd5fd174b9c2f4d87"
"2fd70f2aecd06d265f41acb2bc0af6bdcc6907b6"
"6b3f8fda93ba6b8a353a91b27a161e47c99ac71f"
"f3efc62b31f9de00b134e353685c977f55dc7da9"
"bd9e116be32dca508d6f05e17721c32d06ca6679"
"1fb187e993e39c84272e29ee9cbc68af7a288014"
"a89197f23ad0e3516b1c25468de0da7d69512e5b","RENAME","{Method statement(String, String) at x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/parser/AbstractStatementParserTests.java:52}","{Method query(String, String) at x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/parser/AbstractStatementParserTests.java:52}","-46","-46"
"a89197f23ad0e3516b1c25468de0da7d69512e5b","RENAME","{Method config() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlParser.java:93}","{Method new(EsqlConfig) at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlParser.java:99}","-87","-93"
"a89197f23ad0e3516b1c25468de0da7d69512e5b","RENAME","{Method createQuery(String, QueryParams) at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlParser.java:124}","{Method parseQuery(String, QueryParams) at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlParser.java:113}","-118","-107"
"a89197f23ad0e3516b1c25468de0da7d69512e5b","RENAME","{Method assertStatement(String, LogicalPlan) at x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/parser/AbstractStatementParserTests.java:42}","{Method assertQuery(String, LogicalPlan) at x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/parser/AbstractStatementParserTests.java:42}","-36","-36"
"a89197f23ad0e3516b1c25468de0da7d69512e5b","RENAME","{Method createQuery(String, QueryParams, PlanTelemetry) at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlParser.java:128}","{Method parseQuery(String, QueryParams, PlanTelemetry) at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlParser.java:118}","-122","-112"
"a89197f23ad0e3516b1c25468de0da7d69512e5b","MOVE","{Method parse(String, QueryParams) at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/session/EsqlSession.java:475}","{Method parse(String, QueryParams, SettingsValidationContext, PlanTelemetry) at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlParser.java:135}","-469","-129"
"a89197f23ad0e3516b1c25468de0da7d69512e5b","RENAME","{Method statement(String) at x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/parser/AbstractStatementParserTests.java:56}","{Method query(String) at x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/parser/AbstractStatementParserTests.java:56}","-50","-50"
"ff9e70985a77037344995900eea888d72d03a9e6"
"ff83d96b0e1cd9dca9fe5c7230f25b891e68977a","EXTRACT","{Method assertValid(QuerySettings.QuerySettingDef, Literal, Matcher) at x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/plan/QuerySettingsTests.java:99}","{Method assertValid(QuerySettings.QuerySettingDef, Literal, Matcher, SettingsValidationContext) at x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/plan/QuerySettingsTests.java:102}","-93","-96"
"29c53e2eee8a35a13cbc8aaefd01a9bba4475cda","RENAME","{Method PROMQL_UNQUOTED_IDENTIFIER() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java:8355}","{Method UNQUOTED_IDENTIFIER() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java:8353}","-8349","-8347"
"29c53e2eee8a35a13cbc8aaefd01a9bba4475cda","RENAME","{Method PROMQL_UNQUOTED_IDENTIFIER() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java:8939}","{Method UNQUOTED_IDENTIFIER() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java:8937}","-8933","-8931"
"29c53e2eee8a35a13cbc8aaefd01a9bba4475cda","RENAME","{Method PROMQL_UNQUOTED_IDENTIFIER() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java:8831}","{Method UNQUOTED_IDENTIFIER() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java:8829}","-8825","-8823"
"29c53e2eee8a35a13cbc8aaefd01a9bba4475cda","RENAME","{Method PROMQL_UNQUOTED_IDENTIFIER() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java:8885}","{Method UNQUOTED_IDENTIFIER() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java:8883}","-8879","-8877"
"29c53e2eee8a35a13cbc8aaefd01a9bba4475cda","RENAME","{Method PROMQL_UNQUOTED_IDENTIFIER() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java:8510}","{Method UNQUOTED_IDENTIFIER() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java:8508}","-8504","-8502"
"29c53e2eee8a35a13cbc8aaefd01a9bba4475cda","RENAME","{Method PROMQL_UNQUOTED_IDENTIFIER() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java:8777}","{Method UNQUOTED_IDENTIFIER() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java:8775}","-8771","-8769"
"99ba1d422b170b175961c22d798a7ec0eb027fb7"
"17bbe46c9fd42589bf1d5557ac3cedb974c8e24b"
"72e4dbb50f04016a672a47a7929b9ab323d60cd5","EXTRACT","{Method leafBulkCollection() at x-pack/plugin/downsample/src/main/java/org/elasticsearch/xpack/downsample/DownsampleShardIndexer.java:512}","{Method collect(IntArrayList) at x-pack/plugin/downsample/src/main/java/org/elasticsearch/xpack/downsample/DownsampleShardIndexer.java:504}","-498","-486"
"72e4dbb50f04016a672a47a7929b9ab323d60cd5","CHANGE_SIGNATURE","{Method collect(FormattedDocValues, IntArrayList) at x-pack/plugin/downsample/src/main/java/org/elasticsearch/xpack/downsample/AbstractDownsampleFieldProducer.java:47}","{Method collect(T, IntArrayList) at x-pack/plugin/downsample/src/main/java/org/elasticsearch/xpack/downsample/AbstractDownsampleFieldProducer.java:46}","-41","-40"
"72e4dbb50f04016a672a47a7929b9ab323d60cd5","CHANGE_SIGNATURE","{Method new(AbstractDownsampleFieldProducer[], String[]) at x-pack/plugin/downsample/src/main/java/org/elasticsearch/xpack/downsample/DownsampleShardIndexer.java:621}","{Method new(AbstractDownsampleFieldProducer, String[]) at x-pack/plugin/downsample/src/main/java/org/elasticsearch/xpack/downsample/DownsampleShardIndexer.java:584}","-611","-574"
"47698bed425af3916c94a8e7bd76dbd55165658d"
"d5dc2a78e99f6df0313f42d7d1f7bf0c23172c5a"
"70845e3cf7face9c893cf349c27e9d3bf87e5eee","EXTRACT","{Method next() at server/src/main/java/org/elasticsearch/index/codec/tsdb/TSDBSyntheticIdFieldsProducer.java:448}","{Method resetDocID(int) at server/src/main/java/org/elasticsearch/index/codec/tsdb/TSDBSyntheticIdFieldsProducer.java:433}","-438","-423"
"6f505452565a781cf92b24481c6ef49e49657778"
"d0a065c1883c9cd4a702b2db33096e2c7cb30e70","CHANGE_SIGNATURE","{Method createCustomModel(TaskType, CustomResponseParser, String) at x-pack/plugin/inference/src/test/java/org/elasticsearch/xpack/inference/services/custom/CustomServiceTests.java:308}","{Method createCustomModel(TaskType, CustomResponseParser, String, ChunkingSettings) at x-pack/plugin/inference/src/test/java/org/elasticsearch/xpack/inference/services/custom/CustomServiceTests.java:312}","-302","-306"
"d0a065c1883c9cd4a702b2db33096e2c7cb30e70","RENAME","{Method testChunkedInfer_ChunkingSettingsSet() at x-pack/plugin/inference/src/test/java/org/elasticsearch/xpack/inference/services/custom/CustomServiceTests.java:677}","{Method testChunkedInfer_DenseEmbeddings_ChunkingSettingsSet() at x-pack/plugin/inference/src/test/java/org/elasticsearch/xpack/inference/services/custom/CustomServiceTests.java:734}","-671","-728"
"d0a065c1883c9cd4a702b2db33096e2c7cb30e70","RENAME","{Method testChunkedInfer_ChunkingSettingsNotSet() at x-pack/plugin/inference/src/test/java/org/elasticsearch/xpack/inference/services/custom/CustomServiceTests.java:764}","{Method testChunkedInfer_DenseEmbeddings_ChunkingSettingsNotSet() at x-pack/plugin/inference/src/test/java/org/elasticsearch/xpack/inference/services/custom/CustomServiceTests.java:821}","-758","-815"
"9eb505cf75fee0185064f7636112211117715c84","CHANGE_SIGNATURE","{Method throwInvalidIndexNameException(String, String, EsqlBaseParser.IndexPatternContext) at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/IdentifierBuilder.java:104}","{Method throwInvalidIndexNameException(String, String, ParserRuleContext) at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/IdentifierBuilder.java:155}","-98","-149"
"9eb505cf75fee0185064f7636112211117715c84","CHANGE_SIGNATURE","{Method validateSingleIndexPattern(String, String, String, EsqlBaseParser.IndexPatternContext, boolean) at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/IdentifierBuilder.java:203}","{Method validateSingleIndexPattern(String, String, String, ParserRuleContext, boolean) at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/IdentifierBuilder.java:254}","-197","-248"
"9eb505cf75fee0185064f7636112211117715c84","CHANGE_SIGNATURE","{Method validateClusterString(String, EsqlBaseParser.IndexPatternContext) at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/IdentifierBuilder.java:128}","{Method validateClusterString(String, ParserRuleContext) at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/IdentifierBuilder.java:179}","-122","-173"
"9eb505cf75fee0185064f7636112211117715c84","EXTRACT_MOVE","{Method makeRuleNames() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseLexer.java:80}","{Method NAMED_OR_POSITIONAL_PARAM() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java:8521}","-76","-8515"
"9eb505cf75fee0185064f7636112211117715c84","EXTRACT_MOVE","{Method makeRuleNames() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseLexer.java:80}","{Method COLON() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java:8526}","-76","-8520"
"9eb505cf75fee0185064f7636112211117715c84","EXTRACT_MOVE","{Method makeRuleNames() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseLexer.java:80}","{Method UNQUOTED_SOURCE() at x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java:8517}","-76","-8511"
