"commit url","type","before","after","baseline result","detected result","equal to baseline","oracle index","detected index","note"
"https://github.com/refdiff-study/git/commit/65b5f9483eafea0ccdea59884da4e00e0cfeee1f","MOVE_FUNCTION","cache.h:split_cmdline","alias.h:split_cmdline","TP","TP",True,49,932,""
"https://github.com/refdiff-study/darknet/commit/9b1774bd39d65614cdbd2d4e3815086298008911","MOVE_RENAME_FUNCTION","src/connected_layer.c:activation","src/activations.c:relu_activation","TP","FN",False,50,"",""
"https://github.com/refdiff-study/php-src/commit/ec5b408d815b655cda638c329439795c190ee0dc","MOVE_RENAME_FUNCTION","ext/mbstring/oniguruma/src/regenc.h:P_","ext/mbstring/oniguruma/src/oniguruma.h:onigenc_strdup","FP","TN",False,51,"",""
"https://github.com/refdiff-study/darknet/commit/2313a8eb54d703323279c0fb9b2c9c52d26f0cf9","MOVE_RENAME_FUNCTION","src/darknet.c:basename","src/utils.c:basecfg","TP","TP",True,52,845,""
"https://github.com/refdiff-study/toxcore/commit/2465f486acd90ed8395c8a83a13af09ecd024c98","MOVE_RENAME_FUNCTION","toxav/codec.c:buffer_full","toxcore/util.c:rb_full","TP","FN",False,53,"",""
"https://github.com/refdiff-study/redis/commit/08e1c8e820031751bd58736cc334dda1bc55cb5c","MOVE_RENAME_FUNCTION","deps/jemalloc/src/chunk.c:chunk_commit_default","deps/jemalloc/src/extent.c:extent_commit_default","TP","FN",False,54,"",""
"https://github.com/refdiff-study/tmux/commit/aad4e4ddb194cba9c01b0ddd696fb7b214e1a7eb","MOVE_RENAME_FUNCTION","window-choose.c:window_choose_key","window-client.c:window_client_key","FP","TN",False,55,"",""
"https://github.com/refdiff-study/ijkplayer/commit/c504b6c753604ab25f78634ec486be13d8aedaae","MOVE_RENAME_FUNCTION","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.h:J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp__read","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.h:J4AC_tv_danmaku_ijk_media_player_misc_IAndroidIO__read","TP","FN",False,56,"",""
"https://github.com/refdiff-study/curl/commit/e04417d98f2cac095ea233a4a03e85d881e7ad7b","MOVE_RENAME_FUNCTION","lib/file.c:file_range","lib/curl_range.c:Curl_range","TP","TP",True,57,733,""
"https://github.com/refdiff-study/jq/commit/0d414471bb41f41373754c680ecc7f955a9ec2ad","MOVE_RENAME_FUNCTION","main.c:input_state_next_input","util.c:jq_util_input_next_input","TP","TP",True,58,998,""
