"commit url","type","before","after","baseline result","detected result","equal to baseline","oracle index","detected index","note"
"a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE_FILE","lib/axtls.c","lib/vtls/axtls.c","Yes","TP",False,37,130,""
"a12ab9e125f184454fc484483fe2029962fe6a34","MOVE_FILE","tools/testing/selftests/timers/rtctest.c","tools/testing/selftests/rtc/rtctest.c","Yes","FN",False,38,"",""
"51c1e9b554c996284d5d3bd44da829f41a49a21b","MOVE_FILE","drivers/misc/panel.c","drivers/auxdisplay/panel.c","Yes","TP",False,39,140,""
"971a9ca6259752c04da09535707d08ccc5d1ed4b","MOVE_FUNCTION","arch/s390/kernel/early.c:reset_tod_clock","arch/s390/kernel/early_nobss.c:reset_tod_clock","No","FN",False,40,"",""
"47f212329e5d73c81e2c67acd6a481bc0fe687b2","MOVE_FUNCTION","libavcodec/lossless_videodsp.c:add_int16_c","libavcodec/huffyuvdsp.c:add_int16_c","Yes","TP",False,41,143,""
"c349cdcaba589fb49cf105093ebc695eb8b9ff08","MOVE_FUNCTION","kernel/livepatch/core.c:klp_find_ops","kernel/livepatch/patch.c:klp_find_ops","Yes","TP",False,42,157,""
"ac6c561b598ae74d8e752e22607194536000e4db","MOVE_FUNCTION","branch.c:find_linked_symref","worktree.c:find_linked_symref","Yes","TP",False,43,165,""
"e4d6ade4b318c2694937695aeaf2b1e542d394f6","MOVE_FUNCTION","lib/hostares.c:Curl_freeaddrinfo","lib/hostip.c:Curl_freeaddrinfo","No","TP",False,44,166,""
"d9124e064d27a52c7a6e4bdc890cf0d63f079e85","MOVE_FUNCTION","drivers/staging/rtl8188eu/hal/HalPhyRf_8188e.c:get_right_chnl_for_iqk","drivers/staging/rtl8188eu/hal/phy.c:get_right_chnl_for_iqk","Yes","TP",False,45,170,""
"f5bffecda951b59d0d3cdd616d68952abc52bc40","MOVE_FUNCTION","net/core/filter.c:bpf_internal_load_pointer_neg_helper","kernel/bpf/core.c:bpf_internal_load_pointer_neg_helper","Yes","TP",False,46,194,""
"88678e584aaf3956a0c88c80fa65efc505773f7d","MOVE_FUNCTION","toxcore/DHT.c:add_toping","toxcore/ping.c:add_toping","Yes","TP",False,47,208,""
"eecb3c07e7cce24c35de97e5f895874a8a2e9126","MOVE_FUNCTION","drivers/staging/keucr/init.c:usb_stor_print_cmd","drivers/staging/keucr/transport.c:usb_stor_print_cmd","Yes","TP",False,48,209,""
