"bdc5341ff65278a3cc80b2e8a02a2f02aa1fac06"
"f0ef5b6d9bcc258e4cbef93839d1b7465d5212b9"
"b31ab939fe8e3cbe8be48dddd1c6ac0265991f45"
"0458e8b85440f77d4a4aec28d09112ba06cee05a"
"c20f112e5149d1bd0d4741c4b28a65f81318309a"
"ac65c70663b092e823b0d3de1c1cfdee0a4fbc8e"
"2816b748e5c300afda559a09426f8342c235c29d","EXTRACT","{Function setup_git_env(char) at setup.c:1671}","{Function setup_git_env_internal(char, bool) at setup.c:1005}","-1669","-1003"
"2816b748e5c300afda559a09426f8342c235c29d","CHANGE_SIGNATURE","{Function set_git_dir_1(char) at setup.c:1005}","{Function set_git_dir_1(char, bool) at setup.c:1046}","-1003","-1044"
"2574c617362a0c67d15fa01e01cdbd0f6bcdbc93"
"35d9fc65edc0a5df9f714d02afaa2c942fb28570","CHANGE_SIGNATURE","{Function odb_new(repository) at odb.h:162}","{Function odb_new(repository, char, char) at odb.h:173}","-160","-171"
"c257bd59165e2f55dfa2c97b0ca1e39131513654"
"eea83c010cf431325a05f06cc7c64029538c8495"
"8dc22e87f000a092b62b4fb08e2542433f1ae192"
"5d795b34dcbf46039c3dda028bb8df8d75a5a9d0"
"b67b2d9fb7ccfaa72446d76abc8c36849d2e0685"
"0bd16856ffb3968de73699ad0555d1fae6c45406"
"ce1a5a22a5beefac8a52da518855b5aecc562874"
"6ab38b7e9cc7adafc304f3204616a4debd49c6e9"
"18bf67b7537f8ff0cd772847aa03f9cc319b1346"
"df963f0df4756fa751bfbb39e104d004e3f7d60b"
"fddba8f73790c196d1fd1fc8b169aefb0ed311e3"
"debbc87557487aa9a8ed8a35367d17f8b4081c76"
"770afe443784b3ec2c72d68aa509e48064942348"
"2367c6bcd600882d0ea70d4f654c8cfa5c1f53ac"
"fbf3d0669f830b4492070aa33f57dbf2c43fa4c8"
"f8bdf3127ab7df8a8f3039f41889b35eefe029a3","RENAME","{Function odb_clear(object_database) at odb.c:1076}","{Function odb_free(object_database) at odb.c:1076}","-1074","-1074"
"9aaba579932781c74f67d6cecddaad59f0daaaef","MOVE_RENAME","{Function close_object_store(object_database) at packfile.c:362}","{Function odb_close(object_database) at odb.c:1048}","-360","-1046"
"7c188a9e45405ff911b81a5dd9029f4e91fb338e"
"831e02340b9de46c9ea0a1bbce3894f390f5a45e","MOVE","{Function enter_repo(char, unsigned) at path.c:760}","{Function enter_repo(char, unsigned) at setup.c:1706}","-758","-1704"
"831e02340b9de46c9ea0a1bbce3894f390f5a45e","MOVE","{Function enter_repo(char, unsigned) at path.h:163}","{Function enter_repo(char, unsigned) at setup.h:136}","-161","-134"
"f7316a66d36f39ed9e5be7a3ce0ecd7b71430ff5"
"c80a5ebce0e6afe3f9d3f5047f3de524386c40bb"
"903b04a3e721f4afb337bd48890b69e16c04c5d6"
"5e6e4854e086ba0025bc7dc11e6b475c92a2f556"
"22ce0cb6397d3d15c21c217696f262c4b8eb44b3"
"5004a8da14e2aa80b5697b0a3a60e594af1c8292"
"e35877eadbd9bee473936577c82abca9c8333abd"
"016538780e9f6e83a1d9c7b0ec771fb6c5583c0f"
"6a26019c81faa07ba811541b4cf35be9e8ee1ead"
