Commit URL,Rel. Type,Node before,Node After
https://github.com/meteor/meteor/commit/ec3341e7adb89889deadc1d3ecd8d8a181b958f1,INLINE,"node(""packages/dynamic-import/cache.js"", ""put"")","node(""packages/dynamic-import/cache.js"", ""flushSetMany"")"
https://github.com/meteor/meteor/commit/d4d3df14285e559c92d5294b04be97ebb26517fd,INLINE,"node(""tools/isobuild/resolver.js"", ""_resolvePkgJsonMain"")","node(""tools/isobuild/resolver.js"", ""_resolve"")"
https://github.com/facebook/react/commit/47783e878d62ed96ea27290d1cdbb90b83c417c4,INLINE,"node(""packages/react-dom/src/client/DOMPropertyOperations.js"", ""deleteValueForProperty"")","node(""packages/react-dom/src/client/DOMPropertyOperations.js"", ""setValueForProperty"")"
https://github.com/facebook/react/commit/5c6a496d98b80d19d851c2ec3a56d760b7118a50,INLINE,"node(""src/shared/utils/getIteratorFn.js"", ""getIteratorFn"")","node(""src/isomorphic/classic/element/ReactElementValidator.js"", ""getDeclarationErrorAddendum"")"
https://github.com/mrdoob/three.js/commit/f0e7bdc1de54a1b896089d819872111a86aa4185,RENAME,"node(""src/renderers/WebGLRenderer.js"", ""start"")","node(""src/renderers/WebGLRenderer.js"", ""startAnimation"")"
https://github.com/mrdoob/three.js/commit/6d916aed6b31f4d860efb52f6b94e3d3ce49d1ba,RENAME,"node(""src/loaders/ImageLoader.js"", ""loadListener"")","node(""src/loaders/ImageLoader.js"", ""onInternalLoad"")"
https://github.com/facebook/react-native/commit/1d6ce2311f6a51821b33c5473414d70c8bd34425,RENAME,"node(""Libraries/Image/AssetSourceResolver.js"", ""scaledAssetURLInScript"")","node(""Libraries/Image/AssetSourceResolver.js"", ""scaledAssetURLNearBundle"")"
https://github.com/atom/atom/commit/50088b16c9a4e6fda78ea98430bb0705229883e8,RENAME,"node(""src/text-editor-component.js"", ""isVerticalScrollbarVisible"")","node(""src/text-editor-component.js"", ""canScrollVertically"")"
https://github.com/facebook/react/commit/71f591501b639c4adf329e1f586c7e04875dde7f,RENAME,"node(""src/renderers/shared/fiber/ReactFiberScheduler.js"", ""findNextUnitOfWork"")","node(""src/renderers/shared/fiber/ReactFiberScheduler.js"", ""resetNextUnitOfWork"")"
https://github.com/mrdoob/three.js/commit/8e8589c88105b4f9258867f61aadd70c9fccffaa,RENAME,"node(""src/extras/core/Bezier.js"", ""b2p0"")","node(""src/extras/core/Bezier.js"", ""QuadraticBezierP0"")"
https://github.com/facebook/react/commit/6144212a8634948faf18cce8211c71e6f9d0667e,RENAME,"node(""src/renderers/shared/fiber/ReactFiberScheduler.js"", ""performLowPriWork"")","node(""src/renderers/shared/fiber/ReactFiberScheduler.js"", ""performDeferredWork"")"
https://github.com/angular/angular.js/commit/e9bf93d510a6a0c105d8f5d036ec35c7ce08a588,RENAME,"node(""src/Angular.js"", ""int"")","node(""src/Angular.js"", ""toInt"")"
https://github.com/angular/angular.js/commit/097947fd3bd280fcf621e36154a9d4f82896ff01,RENAME,"node(""src/Angular.js"", ""resumeBootstrapInternal"")","node(""src/Angular.js"", ""doBootstrap"")"
https://github.com/meteor/meteor/commit/9d65f9269982e066de112ccf7e22dfeb2528ba58,RENAME,"node(""packages/accounts-base/url_client.js"", ""onEnrollAccountLink"")","node(""packages/accounts-base/url_client.js"", ""onEnrollmentLink"")"
https://github.com/facebook/react-native/commit/57daad98f01b59fce9cb9bf663fd0b191c56b232,RENAME,"node(""Libraries/Components/StaticContainer.js"", ""StaticContainer.js"")","node(""Libraries/Components/StaticContainer.react.js"", ""StaticContainer.react.js"")"
https://github.com/mui-org/material-ui/commit/c451323da71fa0ec5f7505d14f50d92f0c91f824,RENAME,"node(""docs/src/app/components/pages/get-started/examples.jsx"", ""examples.jsx"")","node(""docs/src/app/components/pages/get-started/Examples.jsx"", ""Examples.jsx"")"
https://github.com/facebook/react/commit/7b2d9655da218f8311d1dab4ab1142c35c3eef3b,RENAME,"node(""src/renderers/shared/stack/event/ReactSyntheticEvent.js"", ""ReactSyntheticEvent.js"")","node(""src/renderers/shared/stack/event/ReactSyntheticEventType.js"", ""ReactSyntheticEventType.js"")"
https://github.com/meteor/meteor/commit/25bddd9a23dda6b309804e052232b09637250f42,RENAME,"node(""packages/html5-tokenizer/html5-tokenizer.js"", ""html5-tokenizer.js"")","node(""packages/html5-tokenizer/html5_tokenizer.js"", ""html5_tokenizer.js"")"
