repository,commit,type,before,after
"emscripten","eeb03b05ad132857a14e081ab6dab4610c8e8f51","CHANGE_SIGNATURE","{Function ready(char, char) at tests/sdl_image_prepare_data.c:28}","{Function ready(void, char) at tests/sdl_image_prepare_data.c:28})"
"libuv","6921d2fc075df8933748e7543402b0ae6d686fa3","EXTRACT","{Function uv_spawn(uv_loop_t, uv_process_t, uv_process_options_t) at src/unix/process.c:70}","{Function uv__process_init_pipe(uv_pipe_t, int) at src/unix/process.c:70})"
"libuv","6921d2fc075df8933748e7543402b0ae6d686fa3","CHANGE_SIGNATURE","{Function uv_pipe_init(uv_loop_t, uv_pipe_t) at src/unix/pipe.c:32}","{Function uv_pipe_init(uv_loop_t, uv_pipe_t, int) at src/unix/pipe.c:33})"
"libuv","6921d2fc075df8933748e7543402b0ae6d686fa3","CHANGE_SIGNATURE","{Function uv_pipe_init(uv_loop_t, uv_pipe_t) at src/win/pipe.c:54}","{Function uv_pipe_init(uv_loop_t, uv_pipe_t, int) at src/win/pipe.c:54})"
"linux","abe60ba45c145db2d90609138755fbb3dbc47d00","CHANGE_SIGNATURE","{Function btrfs_print_tree(btrfs_fs_info, extent_buffer) at fs/btrfs/print-tree.c:323}","{Function btrfs_print_tree(extent_buffer) at fs/btrfs/print-tree.c:323})"
"linux","abe60ba45c145db2d90609138755fbb3dbc47d00","CHANGE_SIGNATURE","{Function btrfs_print_tree(btrfs_fs_info, extent_buffer) at fs/btrfs/print-tree.h:22}","{Function btrfs_print_tree(extent_buffer) at fs/btrfs/print-tree.h:22})"
"git","ba97aea1659e249a3a58ecc5f583ee2056a90ad8","EXTRACT","{Function is_index_unchanged() at sequencer.c:565}","{Function get_cache_tree_oid() at sequencer.c:565})"
"git","f348ac923c9f834c3cdc434e6266872cf5710b71","EXTRACT","{Function find_containing_dir(ref_dir, char, int) at refs.c:288}","{Function search_for_subdir(ref_dir, char, int) at refs.c:286})"
"git","ae2948f30c7de56e2805d26f78ea8205f6c98682","EXTRACT","{Function receive_needs() at upload-pack.c:727}","{Function process_deepen_not(char, string_list, int) at upload-pack.c:780})"
"git","ae2948f30c7de56e2805d26f78ea8205f6c98682","EXTRACT","{Function receive_needs() at upload-pack.c:727}","{Function process_deepen_since(char, timestamp_t, int) at upload-pack.c:764})"
