repository,commit,type,before,after
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function get_region_boxes(layer, int, int, float, float, box, int, int, float) at src/region_layer.c:318}","{Function get_region_boxes(layer, int, int, float, float, box, int, int, float, int) at src/region_layer.c:318})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_region_layer(layer, network_state) at src/region_layer.c:145}","{Function forward_region_layer(layer, network) at src/region_layer.c:145})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_route_layer_gpu(route_layer, network_state) at src/route_layer.c:104}","{Function forward_route_layer_gpu(route_layer, network) at src/route_layer.c:104})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_shortcut_layer_gpu(layer, network_state) at src/shortcut_layer.h:13}","{Function backward_shortcut_layer_gpu(layer, network) at src/shortcut_layer.h:13})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_crop_layer(crop_layer, network_state) at src/crop_layer.c:13}","{Function backward_crop_layer(crop_layer, network) at src/crop_layer.c:13})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_cost_layer(cost_layer, network_state) at src/cost_layer.c:76}","{Function forward_cost_layer(cost_layer, network) at src/cost_layer.c:76})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_gru_layer(layer, network_state) at src/gru_layer.h:12}","{Function backward_gru_layer(layer, network) at src/gru_layer.h:12})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_softmax_layer(softmax_layer, network_state) at src/softmax_layer.c:50}","{Function backward_softmax_layer(softmax_layer, network) at src/softmax_layer.c:50})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function make_deconvolutional_layer(int, int, int, int, int, int, int, ACTIVATION, int) at src/deconvolutional_layer.c:27}","{Function make_deconvolutional_layer(int, int, int, int, int, int, int, int, ACTIVATION, int, int) at src/deconvolutional_layer.c:18})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_connected_layer_gpu(connected_layer, network_state) at src/connected_layer.h:20}","{Function backward_connected_layer_gpu(connected_layer, network) at src/connected_layer.h:20})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_local_layer(local_layer, network_state) at src/local_layer.c:122}","{Function backward_local_layer(local_layer, network) at src/local_layer.c:122})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function train_network_datum(network, float, float) at src/network.h:103}","{Function train_network_datum(network) at src/network.h:104})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_normalization_layer_gpu(layer, network_state) at src/normalization_layer.c:109}","{Function forward_normalization_layer_gpu(layer, network) at src/normalization_layer.c:109})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function train_network_datum_gpu(network, float, float) at src/network.h:78}","{Function train_network_datum_gpu(network) at src/network.h:82})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_deconvolutional_layer(layer, network_state) at src/deconvolutional_layer.h:22}","{Function backward_deconvolutional_layer(layer, network) at src/deconvolutional_layer.h:22})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_maxpool_layer(maxpool_layer, network_state) at src/maxpool_layer.h:14}","{Function forward_maxpool_layer(maxpool_layer, network) at src/maxpool_layer.h:14})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_reorg_layer(layer, network_state) at src/reorg_layer.h:12}","{Function backward_reorg_layer(layer, network) at src/reorg_layer.h:12})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_connected_layer(connected_layer, network_state) at src/connected_layer.c:163}","{Function backward_connected_layer(connected_layer, network) at src/connected_layer.c:163})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_shortcut_layer_gpu(layer, network_state) at src/shortcut_layer.c:54}","{Function forward_shortcut_layer_gpu(layer, network) at src/shortcut_layer.c:54})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_cost_layer_gpu(cost_layer, network_state) at src/cost_layer.h:16}","{Function forward_cost_layer_gpu(cost_layer, network) at src/cost_layer.h:16})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_convolutional_layer(convolutional_layer, network_state) at src/convolutional_layer.c:421}","{Function forward_convolutional_layer(convolutional_layer, network) at src/convolutional_layer.c:430})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_normalization_layer_gpu(layer, network_state) at src/normalization_layer.h:15}","{Function forward_normalization_layer_gpu(layer, network) at src/normalization_layer.h:15})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_avgpool_layer(avgpool_layer, network_state) at src/avgpool_layer.h:14}","{Function forward_avgpool_layer(avgpool_layer, network) at src/avgpool_layer.h:14})"
